"Alicia Clarke",,,,
"Andy McKane","Q76119912","2019 United Kingdom general election","West Tyrone","Ulster Unionist Party"
"Ann Gormley","Q98271717","1992 United Kingdom general election","Mid Ulster","Alliance Party of Northern Ireland"
"Barry Brown",,,,
"Chris Smyth","Q98165913","2018 West Tyrone by-election","West Tyrone","Ulster Unionist Party"
"Ciaran McClean",,,,
"James Hope","Q76120061","2019 United Kingdom general election","West Tyrone","Aontú"
"Michael Bower",,,,
"Robert Andrew Johnstone",,,,
"Stephen Donnelly","Q76130565","2018 West Tyrone by-election","West Tyrone","Alliance Party of Northern Ireland"
"Susan Glass","Q76119910","2019 United Kingdom general election","West Tyrone","Green Party in Northern Ireland"
"Thomas Anthony Owens",,,,
